C,C,C
0.010000,0.007379,0.008728
0.030000,0.020000,0.170000
0.020000,0.010000,0.010000
0.070000,0.020000,0.010000
0.400000,0.010000,0.010000
0.090000,0.020000,0.030000
0.030000,0.060000,0.080000
0.060000,0.090000,0.010000
0.009839,0.040000,0.050000
0.010000,0.020000,0.110000
0.160000,0.020000,0.020000
0.060000,0.040000,0.060000
0.030000,0.050000,0.060000
0.020000,0.040000,0.030000
0.030000,0.040000,0.030000
0.020000,0.030000,0.007379
0.120000,0.030000,0.010000
0.020000,0.020000,0.020000
0.010000,0.020000,0.010000
0.030000,0.030000,0.020000
0.040000,0.030000,0.009839
0.030000,0.020000,0.100000
0.020000,0.030000,0.010000
0.030000,0.050000,0.020000
0.040000,0.030000,0.030000
0.009839,0.020000,0.030000
0.050000,0.080000,0.080000
0.050000,0.020000,0.030000
0.150000,0.020000,0.070000
0.010000,0.020000,0.020000
0.030000,0.030000,0.060000
0.020000,0.090000,0.110000
0.030000,0.050000,0.020000
0.010000,0.020000,0.040000
0.120000,0.110000,0.010000
0.150000,0.020000,0.100000
0.010000,0.020000,0.008609
0.030000,0.020000,0.020000
0.020000,0.030000,0.030000
0.010000,0.010000,0.020000
0.120000,0.020000,0.080000
0.530000,0.100000,0.030000
0.040000,0.020000,0.060000
0.050000,0.090000,0.010000
0.040000,0.010000,0.050000
0.040000,0.020000,0.110000
0.030000,0.050000,0.020000
0.020000,0.070000,0.060000
0.010000,0.010000,0.060000
0.040000,0.010000,0.030000
0.030000,0.009839,0.080000
0.010000,0.020000,0.100000
0.030000,0.030000,0.010000
0.007379,0.200000,0.020000
0.030000,0.020000,0.100000
0.020000,0.020000,0.120000
0.010000,0.030000,0.040000
0.020000,0.010000,0.020000
0.060000,0.150000,0.010000
0.050000,0.020000,0.008609
0.010000,0.020000,0.010000
0.030000,0.030000,0.010000
0.010000,0.030000,0.050000
0.020000,0.030000,0.010000
0.010000,0.030000,0.010000
0.030000,0.020000,0.050000
0.060000,0.009839,0.050000
0.010000,0.030000,0.020000
0.020000,0.010000,0.090000
0.010000,0.020000,0.090000
0.030000,0.020000,0.040000
0.010000,0.009839,0.010000
0.020000,0.050000,0.050000
,0.030000,0.050000
,0.030000,0.010000
,0.030000,0.020000
,0.030000,0.050000
,0.030000,0.020000
,0.010000,0.010000
,0.020000,0.010000
,0.020000,0.060000
,0.030000,0.090000
,0.040000,0.020000
,0.020000,0.050000
,0.040000,0.030000
,0.010000,0.090000
,0.020000,0.050000
,0.020000,0.040000
,0.010000,0.020000
,0.040000,0.050000
,0.010000,0.020000
,0.030000,0.050000
,0.020000,0.030000
,0.020000,0.030000
,0.030000,0.008609
,0.020000,0.290000
,0.030000,0.080000
,0.009839,0.010000
,0.050000,0.060000
,0.030000,0.020000
,0.010000,0.030000
,0.020000,0.020000
,0.080000,0.120000
,0.020000,0.020000
,0.020000,0.020000
,0.030000,0.020000
,0.010000,0.030000
,0.090000,0.010000
,0.050000,0.030000
,0.070000,
,0.050000,
,0.010000,
,0.020000,
,0.020000,
,0.030000,
,0.020000,
,0.010000,
,0.020000,
,0.030000,
,0.100000,
,0.020000,
,0.080000,
,0.050000,
,0.010000,
,0.070000,
,0.010000,
,0.020000,
,0.200000,
,0.009839,
,0.020000,
,0.060000,
,0.020000,
,0.070000,
,0.030000,
,0.150000,
,0.020000,
,0.030000,
,0.040000,
,0.020000,
,0.008609,
,0.090000,
,0.020000,
,0.050000,
,0.010000,
,0.030000,
,0.008609,
,0.020000,
,0.040000,
,0.010000,
,0.030000,
,0.050000,
,0.009839,
,0.020000,
,0.010000,
,0.020000,
,0.010000,
,0.040000,
,0.040000,
,0.020000,
,0.040000,
,0.008609,
,0.020000,
,0.020000,
,0.010000,
,0.020000,
,0.040000,
,0.100000,
,0.010000,
,0.020000,
,0.020000,
,0.009839,
,0.020000,
,0.020000,
,0.020000,
,0.010000,
,0.070000,
,0.030000,
,0.050000,
,0.010000,
,0.030000,
,0.030000,
,0.050000,
,0.050000,
,0.010000,
,0.070000,
,0.020000,
,0.020000,
,0.020000,
,0.040000,
,0.010000,
,0.090000,
,0.009839,
,0.040000,
,0.009839,
,0.030000,
,0.030000,
,0.020000,
,0.040000,
,0.010000,
,0.010000,
,0.010000,
,0.030000,
,0.020000,
,0.050000,
,0.010000,
,0.040000,
,0.010000,
,0.020000,
,0.040000,
,0.040000,
,0.030000,
,0.050000,
,0.020000,
,0.050000,
,0.010000,
,0.030000,
,0.030000,
,0.070000,
,0.050000,
,0.060000,
,0.020000,
,0.020000,
,0.030000,
,0.010000,
,0.030000,
,0.020000,
,0.020000,
,0.130000,
,0.020000,
,0.020000,
,0.030000,
,0.030000,
,0.030000,
,0.020000,
,0.020000,
,0.020000,
,0.020000,
,0.030000,
,0.030000,
,0.020000,
,0.080000,
,0.050000,
,0.020000,
,0.030000,
,0.020000,
,0.060000,
,0.020000,
,0.020000,
,0.070000,
,0.030000,
,0.280000,
,0.020000,
,0.060000,
,0.020000,
,0.030000,
,0.100000,
,0.010000,
,0.030000,
,0.020000,
,0.020000,
,0.040000,
,0.040000,
,0.030000,
,0.020000,
,0.040000,
,0.030000,
,0.020000,
,0.020000,
,0.009839,
,0.030000,
,0.030000,
,0.050000,
,0.030000,
,0.030000,
,0.030000,
,0.020000,
,0.010000,
,0.020000,
,0.060000,
,0.020000,
,0.020000,
,0.060000,
,0.020000,
,0.100000,
,0.030000,
,0.020000,
,0.020000,
,0.020000,
,0.020000,
,0.020000,
,0.010000,
,0.060000,
,0.030000,
,0.040000,
,0.030000,
,0.030000,
,0.030000,
,0.170000,
,0.080000,
,0.050000,
,0.030000,
,0.010000,
,0.020000,
,0.020000,
,0.050000,
,0.030000,
,0.070000,
,0.030000,
,0.280000,
,0.020000,
,0.060000,
,0.020000,
,0.050000,
,0.010000,
,0.010000,
,0.020000,
,0.020000,
,0.010000,
,0.020000,
,0.030000,
,0.030000,
,0.030000,
,0.010000,
,0.020000,
,0.100000,
,0.030000,
,0.010000,
,0.020000,
,0.009839,
,0.040000,
,0.020000,
,0.060000,
,0.120000,
,0.010000,
,0.050000,
,0.030000,
,0.040000,
,0.120000,
,0.130000,
,0.050000,
,0.010000,
,0.030000,
,0.060000,
,0.020000,
,0.030000,
,0.020000,
,0.050000,
,0.020000,
,0.020000,
,0.140000,
,0.050000,
,0.040000,
,0.030000,
,0.010000,
,0.020000,
,0.010000,
,0.030000,
,0.050000,
,0.060000,
,0.030000,
,0.040000,
,0.030000,
,0.060000,
,0.020000,
,0.010000,
,0.060000,
,0.030000,
,0.020000,
,0.010000,
,0.060000,
,0.020000,
,0.100000,
,0.030000,
,0.030000,
,0.020000,
,0.020000,
,0.020000,
,0.040000,
,0.020000,
,0.060000,
,0.030000,
,0.050000,
,0.040000,
,0.030000,
,0.008609,
,0.050000,
,0.040000,
,0.190000,
,0.050000,
,0.030000,
,0.160000,
,0.020000,
,0.008609,
,0.010000,
,0.008609,
,0.020000,
,0.010000,
,0.040000,
,0.020000,
,0.020000,
,0.030000,
,0.120000,
,0.040000,
,0.020000,
,0.030000,
,0.010000,
,0.050000,
,0.050000,
,0.030000,
,0.130000,
,0.030000,
,0.120000,
,0.130000,
,0.010000,
,0.050000,
,0.050000,
,0.060000,
,0.020000,
,0.040000,
,0.080000,
,0.050000,
,0.010000,
,0.020000,
,0.050000,
,0.040000,
,0.020000,
,0.010000,
,0.040000,
,0.030000,
,0.110000,
,0.040000,
,0.020000,
,0.180000,
,0.008609,
,0.060000,
,0.100000,
,0.040000,
,0.060000,
,0.060000,
,0.030000,
,0.100000,
,0.020000,
,0.020000,
,0.010000,
,0.030000,
,0.050000,
,0.008609,
,0.080000,
,0.040000,
,0.030000,
,0.050000,
,0.040000,
,0.040000,
,0.010000,
,0.050000,
,0.140000,
,0.020000,
,0.010000,
,0.040000,
,0.040000,
,0.060000,
,0.040000,
,0.040000,
,0.010000,
,0.020000,
,0.010000,
,0.040000,
,0.030000,
,0.040000,
,0.070000,
,0.050000,
,0.030000,
,0.020000,
,0.020000,
,0.050000,
,0.010000,
,0.020000,
,0.130000,
,0.040000,
,0.030000,
,0.020000,
,0.030000,
,0.008609,
,0.060000,
,0.170000,
,0.100000,
,0.150000,
,0.100000,
,0.040000,
,0.050000,
,0.030000,
,0.100000,
,0.040000,
,0.030000,
,0.060000,
,0.030000,
,0.009839,
,0.030000,
,0.130000,
,0.030000,
,0.010000,
,0.040000,
,0.060000,
,0.040000,
,0.060000,
,0.030000,
,0.130000,
,0.010000,
,0.010000,
,0.020000,
,0.140000,
,0.040000,
,0.070000,
,0.020000,
,0.030000,
,0.050000,
,0.030000,
,0.030000,
,0.080000,
,0.040000,
,0.030000,
,0.010000,
,0.010000,
,0.030000,
,0.020000,
,0.100000,
,0.040000,
,0.080000,
,0.110000,
,0.070000,
,0.030000,
,0.150000,
,0.010000,
,0.050000,
,0.170000,
,0.020000,
,0.020000,
,0.050000,
,0.050000,
,0.010000,
,0.010000,
,0.080000,
,0.040000,
,0.008609,
,0.140000,
,0.030000,
,0.060000,
,0.030000,
,0.120000,
,0.009839,
,0.220000,
,0.020000,
,0.030000,
,0.050000,
,0.020000,
,0.040000,
,0.040000,
,0.040000,
,0.140000,
,0.070000,
,0.050000,
,0.020000,
,0.030000,
,0.090000,
,0.040000,
,0.020000,
,0.090000,
,0.040000,
,0.009839,
,0.030000,
,0.020000,
,0.150000,
,0.060000,
,0.020000,
,0.080000,
,0.020000,
,0.040000,
,0.100000,
,0.010000,
,0.020000,
,0.050000,
,0.020000,
,0.040000,
,0.010000,
,0.020000,
,0.030000,
,0.030000,
,0.030000,
,0.030000,
,0.090000,
,0.020000,
,0.200000,
,0.130000,
,0.010000,
,0.030000,
,0.010000,
,0.070000,
,0.020000,
,0.060000,
,0.040000,
,0.010000,
,0.050000,
,0.120000,
,0.010000,
,0.050000,
,0.110000,
,0.010000,
,0.020000,
,0.030000,
,0.040000,
,0.010000,
,0.010000,
,0.060000,
,0.030000,
,0.020000,
,0.020000,
,0.020000,
,0.010000,
,0.030000,
,0.050000,
,0.010000,
,0.070000,
,0.150000,
,0.040000,
,0.030000,
,0.080000,
,0.020000,
,0.040000,
,0.140000,
,0.270000,
,0.070000,
,0.060000,
,0.008609,
,0.070000,
,0.020000,
,0.020000,
,0.070000,
,0.030000,
,0.040000,
,0.100000,
,0.040000,
,0.020000,
,0.120000,
,0.009839,
,0.060000,
,0.020000,
,0.030000,
,0.050000,
,0.030000,
,0.160000,
,0.010000,
,0.010000,
,0.050000,
,0.020000,
,0.030000,
,0.010000,
,0.010000,
,0.020000,
,0.250000,
,0.050000,
,0.020000,
,0.040000,
,0.030000,
,0.030000,
,0.020000,
,0.008609,
,0.010000,
,0.040000,
,0.030000,
,0.040000,
,0.030000,
,0.040000,
,0.009839,
,0.040000,
,0.060000,
,0.020000,
,0.020000,
,0.010000,
,0.010000,
,0.010000,
,0.060000,
,0.050000,
,0.020000,
,0.040000,
,0.030000,
,0.010000,
,0.150000,
,0.020000,
,0.060000,
,0.030000,
,0.080000,
,0.030000,
,0.040000,
,0.020000,
,0.020000,
,0.100000,
,0.040000,
,0.060000,
,0.030000,
,0.020000,
,0.010000,
,0.030000,
,0.040000,
,0.020000,
,0.020000,
,0.020000,
,0.050000,
,0.050000,
,0.010000,
,0.030000,
,0.020000,
,0.050000,
,0.030000,
,0.030000,
,0.020000,
,0.020000,
,0.020000,
,0.010000,
,0.140000,
,0.060000,
,0.020000,
,0.020000,
,0.080000,
,0.010000,
,0.020000,
,0.040000,
,0.030000,
,0.008609,
,0.020000,
,0.020000,
,0.030000,
,0.100000,
,0.040000,
,0.020000,
,0.009839,
,0.040000,
,0.070000,
,0.010000,
,0.010000,
,0.040000,
,0.030000,
,0.040000,
,0.030000,
,0.010000,
,0.040000,
,0.007379,
,0.100000,
,0.030000,
,0.010000,
,0.110000,
,0.009975,
,0.050000,
,0.010000,
,0.010000,
,0.150000,
,0.040000,
,0.040000,
,0.070000,
,0.260000,
,0.030000,
,0.080000,
,0.060000,
,0.130000,
,0.020000,
,0.060000,
,0.009352,
,0.020000,
,0.010000,
,0.020000,
,0.030000,
,0.040000,
,0.070000,
,0.040000,
,0.100000,
,0.120000,
,0.010000,
,0.020000,
,0.030000,
,0.060000,
,0.010000,
,0.030000,
,0.040000,
,0.030000,
,0.020000,
,0.050000,
,0.020000,
,0.160000,
,0.020000,
,0.250000,
,0.040000,
,0.020000,
,0.020000,
,0.020000,
,0.020000,
,0.050000,
,0.030000,
,0.040000,
,0.010000,
,0.030000,
,0.020000,
,0.020000,
,0.030000,
,0.040000,
,0.070000,
,0.020000,
,0.100000,
,0.040000,
,0.050000,
,0.020000,
,0.060000,
,0.020000,
,0.040000,
,0.030000,
,0.040000,
,0.140000,
,0.010000,
,0.020000,
,0.060000,
,0.070000,
,0.020000,
,0.020000,
,0.090000,
,0.030000,
,0.010000,
,0.050000,
,0.020000,
,0.020000,
,0.040000,
,0.030000,
,0.020000,
,0.140000,
,0.030000,
,0.050000,
,0.010000,
,0.080000,
,0.030000,
,0.050000,
,0.040000,
,0.020000,
,0.030000,
,0.040000,
,0.020000,
,0.020000,
,0.010000,
,0.030000,
,0.010000,
,0.010000,
,0.020000,
,0.008728,
,0.020000,
,0.040000,
,0.020000,
,0.020000,
,0.010000,
,0.040000,
,0.040000,
,0.020000,
,0.010000,
,0.030000,
,0.030000,
,0.010000,
,0.090000,
,0.030000,
,0.040000,
,0.150000,
,0.050000,
,0.020000,
,0.030000,
,0.020000,
,0.020000,
,0.020000,
,0.009352,
,0.010000,
,0.040000,
,0.030000,
,0.020000,
,0.040000,
,0.030000,
,0.070000,
,0.130000,
,0.010000,
,0.050000,
,0.050000,
,0.030000,
,0.080000,
,0.030000,
,0.040000,
,0.009352,
,0.030000,
,0.020000,
,0.010000,
,0.010000,
,0.020000,
,0.020000,
,0.070000,
,0.010000,
,0.009352,
,0.030000,
,0.020000,
,0.060000,
,0.020000,
,0.020000,
,0.010000,
,0.007481,
,0.020000,
,0.020000,
,0.020000,
,0.040000,
,0.020000,
,0.030000,
,0.050000,
,0.020000,
,0.030000,
,0.020000,
,0.100000,
,0.008105,
,0.120000,
,0.060000,
,0.050000,
,0.010000,
,0.040000,
,0.160000,
,0.020000,
,0.050000,
,0.030000,
,0.010000,
,0.030000,
,0.020000,
,0.040000,
,0.040000,
,0.020000,
,0.050000,
,0.090000,
,0.030000,
,0.010000,
,0.080000,
,0.050000,
,0.030000,
,0.020000,
,0.060000,
,0.020000,
,0.010000,
,0.020000,
,0.040000,
,0.010000,
,0.010000,
,0.020000,
,0.010000,
,0.040000,
,0.020000,
,0.009975,
,0.100000,
,0.060000,
,0.100000,
,0.010000,
,0.020000,
,0.020000,
,0.140000,
,0.010000,
,0.030000,
,0.020000,
,0.020000,
,0.009975,
,0.030000,
,0.060000,
,0.130000,
,0.030000,
,0.030000,
,0.030000,
,0.010000,
,0.010000,
,0.080000,
,0.060000,
,0.050000,
,0.020000,
,0.020000,
,0.010000,
,0.020000,
,0.030000,
,0.040000,
,0.050000,
,0.030000,
,0.020000,
,0.010000,
,0.010000,
,0.220000,
,0.020000,
,0.030000,
,0.020000,
,0.040000,
,0.030000,
,0.030000,
,0.009975,
,0.040000,
,0.010000,
,0.080000,
,0.020000,
,0.040000,
,0.100000,
,0.170000,
,0.040000,
,0.100000,
,0.160000,
,0.110000,
,0.050000,
,0.100000,
,0.030000,
,0.090000,
,0.020000,
,0.110000,
,0.040000,
,0.030000,
,0.110000,
,0.040000,
,0.010000,
,0.010000,
,0.200000,
,0.330000,
,0.120000,
,0.050000,
,0.020000,
,0.030000,
,0.050000,
,0.130000,
,0.030000,
,0.030000,
,0.020000,
,0.070000,
,0.040000,
,0.030000,
,0.040000,
,0.040000,
,0.009261,
,0.090000,
,0.030000,
,0.050000,
,0.010000,
,0.020000,
,0.010000,
,0.010000,
,0.050000,
,0.050000,
,0.040000,
,0.060000,
,0.030000,
,0.050000,
,0.060000,
,0.010000,
,0.060000,
,0.008303,
,0.030000,
,0.130000,
,0.090000,
,0.010000,
,0.060000,
,0.010000,
,0.120000,
,0.020000,
,0.040000,
,0.040000,
,0.220000,
,0.140000,
,0.030000,
,0.030000,
,0.060000,
,0.009581,
,0.130000,
,0.050000,
,0.020000,
,0.040000,
,0.010000,
,0.050000,
,0.020000,
,0.070000,
,0.070000,
,0.020000,
,0.060000,
,0.020000,
,0.040000,
,0.009900,
,0.050000,
,0.020000,
,0.010000,
,0.210000,
,0.020000,
