H,H,H
0.010000,0.030000,0.020000
0.040000,0.010000,0.040000
0.110000,0.010000,0.020000
0.010000,0.010000,0.070000
0.020000,0.030000,0.020000
0.050000,0.030000,0.030000
0.020000,0.030000,0.040000
0.010000,0.020000,0.070000
0.030000,0.010000,0.020000
0.020000,0.010000,0.010000
0.070000,0.020000,0.110000
0.040000,0.300000,0.010000
0.020000,0.020000,0.007379
0.090000,0.010000,0.040000
0.060000,0.008623,0.050000
0.010000,0.010000,0.020000
0.020000,0.009261,0.020000
0.009839,0.020000,0.020000
0.030000,0.010000,0.020000
0.010000,0.008623,0.020000
0.010000,0.030000,0.010000
0.010000,0.009581,0.030000
0.010000,0.008623,0.040000
0.020000,0.010000,0.130000
0.030000,0.010000,0.150000
0.020000,0.010000,0.010000
0.030000,0.020000,0.009839
0.020000,0.020000,0.010000
0.130000,0.020000,0.020000
0.020000,0.009900,0.010000
0.010000,0.020000,0.040000
0.009839,0.010000,0.020000
0.020000,0.010000,0.060000
0.010000,0.010000,0.150000
0.009839,0.010000,0.020000
0.060000,0.010000,0.010000
0.020000,0.008942,0.020000
0.010000,0.010000,0.010000
0.020000,0.020000,0.010000
0.070000,0.009581,0.020000
0.020000,0.007026,0.110000
0.030000,0.007984,0.010000
0.040000,0.009261,0.030000
0.010000,0.009581,0.010000
0.030000,0.008942,0.030000
0.050000,0.010000,0.020000
0.020000,0.010000,0.010000
0.010000,0.010000,0.040000
0.030000,0.009261,0.009839
0.060000,0.010000,0.060000
0.060000,0.008942,0.009839
0.020000,0.020000,0.040000
0.030000,0.020000,0.050000
0.010000,0.020000,0.010000
0.010000,0.020000,0.010000
0.020000,0.009261,0.280000
0.020000,0.007984,0.020000
0.070000,0.010000,0.040000
0.010000,0.009261,0.010000
0.050000,0.020000,0.030000
0.020000,0.020000,0.120000
0.040000,0.010000,0.090000
0.020000,0.020000,0.030000
0.040000,0.010000,0.020000
0.020000,0.010000,0.020000
0.030000,0.020000,0.020000
0.020000,0.020000,0.040000
0.100000,0.010000,0.040000
0.050000,0.010000,0.050000
0.020000,0.008303,0.030000
0.040000,0.010000,0.010000
0.040000,0.009261,0.280000
0.010000,0.008303,0.020000
0.020000,0.009261,0.040000
0.050000,0.009581,0.010000
0.060000,0.010000,0.010000
0.080000,0.010000,0.100000
0.050000,0.007665,0.010000
0.030000,0.008623,0.130000
0.050000,0.009900,0.007665
0.060000,0.020000,0.009581
0.080000,0.009900,0.009581
0.010000,0.010000,0.030000
0.030000,0.020000,0.010000
0.020000,0.009581,0.010000
0.010000,0.020000,0.040000
0.040000,0.010000,0.020000
0.010000,0.010000,0.020000
0.070000,0.010000,0.010000
0.020000,0.020000,0.010000
0.007379,0.008942,0.008623
0.008609,0.030000,0.340000
0.020000,0.030000,0.020000
0.200000,0.020000,0.050000
0.020000,0.010000,0.070000
0.070000,0.020000,0.010000
0.009839,0.030000,0.060000
0.040000,0.010000,0.070000
0.010000,0.009581,0.090000
0.020000,0.010000,0.340000
0.010000,0.030000,0.009975
0.050000,0.007345,0.030000
0.010000,0.010000,0.050000
0.008609,0.010000,0.008728
0.020000,0.020000,0.008728
0.010000,0.010000,0.070000
0.020000,0.010000,0.020000
0.020000,0.007665,0.009900
0.010000,0.007984,0.340000
0.008609,0.010000,0.030000
0.050000,0.009900,0.009900
0.020000,0.020000,0.010000
0.050000,0.030000,0.007665
0.020000,0.020000,
0.030000,0.007665,
0.020000,0.007984,
0.009839,0.009581,
0.020000,0.008623,
0.040000,0.020000,
0.040000,0.090000,
0.180000,0.010000,
0.010000,0.180000,
0.010000,0.010000,
0.008609,0.040000,
0.010000,0.010000,
0.020000,0.020000,
0.030000,0.010000,
0.040000,0.010000,
0.040000,0.050000,
0.040000,0.010000,
0.010000,0.020000,
0.030000,0.060000,
0.010000,0.040000,
0.030000,0.030000,
0.020000,0.020000,
0.009839,0.010000,
0.040000,0.080000,
0.010000,0.020000,
0.009839,0.060000,
0.007379,0.010000,
0.010000,0.030000,
0.020000,0.030000,
0.110000,0.030000,
0.050000,0.030000,
0.020000,0.020000,
0.010000,0.010000,
0.010000,0.020000,
0.030000,0.020000,
0.230000,0.010000,
0.010000,0.009839,
0.020000,0.030000,
0.020000,0.008609,
0.020000,0.030000,
0.020000,0.008609,
0.010000,0.020000,
0.030000,0.300000,
0.050000,0.050000,
0.009839,0.040000,
0.010000,0.190000,
0.010000,0.020000,
0.030000,0.200000,
0.030000,0.220000,
0.030000,0.350000,
0.040000,0.040000,
0.010000,0.040000,
0.020000,0.020000,
0.030000,0.010000,
0.010000,0.020000,
0.020000,0.020000,
0.020000,0.190000,
0.020000,0.070000,
0.010000,1.550000,
0.010000,0.070000,
0.010000,0.050000,
0.060000,0.010000,
0.020000,0.070000,
0.090000,0.040000,
0.020000,0.020000,
0.020000,0.010000,
0.030000,0.010000,
0.020000,0.090000,
0.010000,0.130000,
0.020000,0.009839,
0.030000,0.040000,
0.010000,0.210000,
0.030000,0.110000,
0.020000,0.520000,
0.020000,0.010000,
0.050000,0.010000,
0.009839,0.030000,
0.020000,0.080000,
0.030000,0.260000,
0.020000,0.100000,
0.010000,0.030000,
0.010000,0.009839,
0.020000,0.080000,
0.008609,0.030000,
0.020000,0.020000,
0.009839,0.030000,
0.007379,0.010000,
0.020000,0.020000,
0.020000,0.010000,
0.009839,0.040000,
0.009839,0.020000,
0.009839,0.020000,
0.020000,0.080000,
0.020000,0.010000,
0.010000,0.008609,
0.020000,0.040000,
0.020000,0.010000,
0.020000,0.030000,
0.140000,0.010000,
0.020000,0.070000,
0.020000,0.040000,
0.020000,0.050000,
0.020000,0.020000,
0.010000,0.070000,
0.020000,0.020000,
0.020000,0.020000,
0.010000,0.030000,
0.030000,0.030000,
0.070000,0.060000,
0.020000,0.070000,
0.060000,0.150000,
0.010000,0.100000,
0.010000,0.100000,
0.020000,0.020000,
0.010000,0.040000,
0.020000,0.150000,
0.010000,0.050000,
0.010000,0.030000,
0.010000,0.009839,
0.120000,0.040000,
0.010000,0.030000,
0.010000,0.020000,
0.010000,0.130000,
0.010000,0.030000,
0.020000,1.050000,
0.008609,0.030000,
0.010000,0.030000,
0.010000,0.010000,
0.008609,0.060000,
0.010000,0.060000,
0.009839,0.070000,
0.010000,0.050000,
0.010000,0.020000,
0.010000,0.020000,
0.020000,0.009839,
0.030000,0.010000,
0.010000,0.020000,
0.030000,0.010000,
0.020000,0.080000,
0.020000,0.020000,
0.020000,0.080000,
0.020000,0.250000,
0.030000,0.100000,
0.009839,0.008609,
0.020000,0.020000,
0.030000,,
0.020000,,
0.020000,,
0.020000,,
0.030000,,
0.020000,,
0.050000,,
0.020000,,
0.030000,,
0.010000,,
0.010000,,
0.100000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.030000,,
0.010000,,
0.030000,,
0.008609,,
0.020000,,
0.010000,,
0.010000,,
0.020000,,
0.020000,,
0.009839,,
0.030000,,
0.100000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.030000,,
0.050000,,
0.030000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.010000,,
0.030000,,
0.010000,,
0.010000,,
0.030000,,
0.010000,,
0.020000,,
0.040000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.070000,,
0.010000,,
0.010000,,
0.020000,,
0.010000,,
0.090000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.040000,,
0.020000,,
0.010000,,
0.020000,,
0.040000,,
0.040000,,
0.100000,,
0.009839,,
0.010000,,
0.020000,,
0.007379,,
0.009839,,
0.020000,,
0.010000,,
0.020000,,
0.050000,,
0.008609,,
0.010000,,
0.020000,,
0.020000,,
0.040000,,
0.020000,,
0.040000,,
0.010000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.020000,,
0.010000,,
0.009839,,
0.008609,,
0.020000,,
0.010000,,
0.010000,,
0.030000,,
0.010000,,
0.020000,,
0.020000,,
0.020000,,
0.040000,,
0.010000,,
0.020000,,
0.050000,,
0.020000,,
0.200000,,
0.010000,,
0.110000,,
0.030000,,
0.020000,,
0.050000,,
0.030000,,
0.010000,,
0.070000,,
0.040000,,
0.030000,,
0.010000,,
0.020000,,
0.010000,,
0.020000,,
0.030000,,
0.010000,,
0.040000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.020000,,
0.120000,,
0.009839,,
0.140000,,
0.010000,,
0.020000,,
0.008609,,
0.020000,,
0.020000,,
0.008609,,
0.010000,,
0.010000,,
0.070000,,
0.040000,,
0.020000,,
0.050000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.030000,,
0.060000,,
0.020000,,
0.070000,,
0.020000,,
0.010000,,
0.009839,,
0.020000,,
0.008609,,
0.020000,,
0.020000,,
0.020000,,
0.030000,,
0.020000,,
0.020000,,
0.050000,,
0.010000,,
0.030000,,
0.050000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.020000,,
0.008609,,
0.010000,,
0.020000,,
0.008609,,
0.010000,,
0.010000,,
0.020000,,
0.020000,,
0.030000,,
0.140000,,
0.060000,,
0.010000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.030000,,
0.020000,,
0.008609,,
0.010000,,
0.020000,,
0.009839,,
0.030000,,
0.030000,,
0.070000,,
0.020000,,
0.010000,,
0.080000,,
0.060000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.030000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.140000,,
0.009839,,
0.010000,,
0.010000,,
0.008609,,
0.010000,,
0.020000,,
0.030000,,
0.010000,,
0.020000,,
0.008609,,
0.020000,,
0.030000,,
0.010000,,
0.030000,,
0.020000,,
0.030000,,
0.020000,,
0.010000,,
0.010000,,
0.008609,,
0.010000,,
0.090000,,
0.020000,,
0.030000,,
0.010000,,
0.030000,,
0.020000,,
0.010000,,
0.008609,,
0.020000,,
0.030000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.020000,,
0.020000,,
0.009839,,
0.020000,,
0.010000,,
0.030000,,
0.007379,,
0.020000,,
0.009839,,
0.030000,,
0.050000,,
0.010000,,
0.030000,,
0.020000,,
0.020000,,
0.020000,,
0.030000,,
0.010000,,
0.008609,,
0.030000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.009352,,
0.020000,,
0.020000,,
0.040000,,
0.010000,,
0.010000,,
0.050000,,
0.010000,,
0.030000,,
0.020000,,
0.030000,,
0.020000,,
0.010000,,
0.020000,,
0.120000,,
0.010000,,
0.020000,,
0.140000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.010000,,
0.009975,,
0.020000,,
0.009975,,
0.020000,,
0.020000,,
0.020000,,
0.050000,,
0.080000,,
0.020000,,
0.020000,,
0.020000,,
0.050000,,
0.008105,,
0.020000,,
0.030000,,
0.020000,,
0.020000,,
0.010000,,
0.010000,,
0.020000,,
0.030000,,
0.010000,,
0.070000,,
0.020000,,
0.010000,,
0.020000,,
0.070000,,
0.010000,,
0.010000,,
0.009975,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.020000,,
0.009352,,
0.010000,,
0.010000,,
0.030000,,
0.010000,,
0.030000,,
0.020000,,
0.008105,,
0.020000,,
0.009975,,
0.060000,,
0.010000,,
0.020000,,
0.010000,,
0.030000,,
0.020000,,
0.010000,,
0.008728,,
0.020000,,
0.010000,,
0.020000,,
0.020000,,
0.010000,,
0.010000,,
0.020000,,
0.010000,,
0.020000,,
0.020000,,
0.010000,,
0.009352,,
0.030000,,
0.020000,,
0.010000,,
0.010000,,
0.010000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.030000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.030000,,
0.030000,,
0.010000,,
0.030000,,
0.010000,,
0.009352,,
0.010000,,
0.020000,,
0.010000,,
0.030000,,
0.010000,,
0.010000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.020000,,
0.020000,,
0.040000,,
0.020000,,
0.008105,,
0.020000,,
0.008105,,
0.020000,,
0.020000,,
0.050000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.210000,,
0.020000,,
0.020000,,
0.020000,,
0.020000,,
0.120000,,
0.008105,,
0.009352,,
0.020000,,
0.030000,,
0.010000,,
0.010000,,
0.030000,,
0.010000,,
0.050000,,
0.006858,,
0.020000,,
0.020000,,
0.008105,,
0.010000,,
0.010000,,
0.050000,,
0.009352,,
0.010000,,
0.009975,,
0.050000,,
0.010000,,
0.008728,,
0.030000,,
0.020000,,
0.020000,,
0.020000,,
0.008105,,
0.020000,,
0.010000,,
0.009352,,
0.009975,,
0.010000,,
0.010000,,
0.020000,,
0.010000,,
0.030000,,
0.010000,,
0.009352,,
0.010000,,
0.010000,,
0.010000,,
0.020000,,
0.009975,,
0.009352,,
0.008105,,
0.010000,,
0.009352,,
0.010000,,
0.010000,,
0.030000,,
0.020000,,
0.020000,,
0.010000,,
0.020000,,
0.020000,,
0.020000,,
0.009975,,
0.010000,,
0.010000,,
0.009975,,
0.010000,,
0.010000,,
0.030000,,
0.010000,,
0.020000,,
0.040000,,
0.009975,,
0.007481,,
0.020000,,
0.030000,,
0.008728,,
0.010000,,
0.040000,,
0.040000,,
0.070000,,
0.020000,,
0.020000,,
0.010000,,
0.010000,,
0.030000,,
0.020000,,
0.020000,,
0.020000,,
0.010000,,
0.010000,,
0.009352,,
0.020000,,
0.010000,,
0.020000,,
0.040000,,
0.020000,,
0.030000,,
0.020000,,
0.020000,,
0.009975,,
0.160000,,
0.020000,,
0.010000,,
0.010000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.008728,,
0.020000,,
0.020000,,
0.030000,,
0.010000,,
0.010000,,
0.010000,,
0.020000,,
0.006858,,
0.008105,,
0.009352,,
0.030000,,
0.010000,,
0.008728,,
0.010000,,
0.020000,,
0.010000,,
0.030000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.020000,,
0.040000,,
0.020000,,
0.050000,,
0.010000,,
0.020000,,
0.010000,,
0.010000,,
0.030000,,
0.020000,,
0.020000,,
0.080000,,
0.020000,,
0.060000,,
0.020000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.010000,,
0.040000,,
0.020000,,
0.020000,,
0.060000,,
0.030000,,
0.020000,,
0.008728,,
0.020000,,
0.010000,,
0.008728,,
0.010000,,
0.030000,,
0.020000,,
0.020000,,
0.010000,,
0.020000,,
0.010000,,
0.020000,,
0.010000,,
0.020000,,
0.020000,,
0.030000,,
0.009352,,
0.010000,,
0.008105,,
0.009975,,
0.120000,,
0.008728,,
0.040000,,
0.008105,,
0.020000,,
0.009975,,
0.009975,,
0.020000,,
0.010000,,
0.030000,,
0.010000,,
0.020000,,
0.020000,,
0.030000,,
0.010000,,
0.010000,,
0.008105,,
0.010000,,
0.008105,,
0.008105,,
0.009352,,
0.020000,,
0.010000,,
0.020000,,
0.008105,,
0.020000,,
0.009975,,
0.020000,,
0.010000,,
0.010000,,
0.007481,,
0.009975,,
0.008728,,
0.010000,,
0.020000,,
0.020000,,
0.010000,,
0.060000,,
0.020000,,
0.030000,,
0.010000,,
0.080000,,
0.010000,,
0.020000,,
0.060000,,
0.020000,,
0.010000,,
0.020000,,
0.009481,,
0.050000,,
0.030000,,
0.010000,,
0.060000,,
0.010000,,
0.020000,,
0.040000,,
0.020000,,
0.010000,,
0.060000,,
0.020000,,
0.020000,,
0.120000,,
0.010000,,
0.020000,,
0.020000,,
0.030000,,
0.020000,,
0.040000,,
0.010000,,
0.020000,,
0.040000,,
